RUN	perf.TestSimulation	testsimulation	1677066707717	 	3.0.3
REQUEST	7	login	/cgi-bin/login.pl?intro=true	1677066731909	1677066732070	OK	 
REQUEST	7	login	/cgi-bin/welcome.pl?page=search	1677066732072	1677066732229	OK	 
REQUEST	7	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066732230	1677066732401	OK	 
GROUP	7	login	1677066731577	1677066732402	817	OK
REQUEST	7	choice	/cgi-bin/reservations.pl?page=welcome	1677066732403	1677066732597	OK	 
REQUEST	7	choice	/cgi-bin/reservations.pl	1677066732599	1677066732815	OK	 
REQUEST	7	choice	/cgi-bin/reservations.pl	1677066732817	1677066732968	OK	 
REQUEST	7	choice	/cgi-bin/reservations.pl	1677066732970	1677066733145	OK	 
GROUP	7	choice	1677066732402	1677066733146	736	OK
REQUEST	7	basket	/cgi-bin/welcome.pl?page=itinerary	1677066733147	1677066733305	OK	 
REQUEST	7	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066733307	1677066733469	OK	 
REQUEST	7	basket	/cgi-bin/itinerary.pl	1677066733471	1677066734625	OK	 
GROUP	7	basket	1677066733146	1677066734626	1474	OK
REQUEST	7	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066734627	1677066734784	OK	 
REQUEST	7	singOff	/cgi-bin/nav.pl?in=home	1677066734785	1677066734952	OK	 
GROUP	7	singOff	1677066734626	1677066734953	324	OK
USER	mainScenario	7	END	1677066731180	1677066734953
USER	mainScenario	8	START	1677066734954	1677066734954
REQUEST	8	open	/webtours/	1677066734955	1677066735172	OK	 
REQUEST	8	open	/cgi-bin/welcome.pl	1677066735173	1677066735352	OK	 
REQUEST	8	open	/cgi-bin/nav.pl?in=home	1677066735354	1677066735532	OK	 
GROUP	8	open	1677066734954	1677066735533	574	OK
REQUEST	8	login	/cgi-bin/login.pl	1677066735534	1677066735773	OK	 
REQUEST	8	login	/cgi-bin/nav.pl?page=menu&in=home	1677066735775	1677066735945	OK	 
REQUEST	8	login	/cgi-bin/login.pl?intro=true	1677066735946	1677066736107	OK	 
REQUEST	8	login	/cgi-bin/welcome.pl?page=search	1677066736108	1677066736277	OK	 
REQUEST	8	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066736278	1677066736497	OK	 
GROUP	8	login	1677066735533	1677066736498	958	OK
REQUEST	8	choice	/cgi-bin/reservations.pl?page=welcome	1677066736500	1677066736679	OK	 
REQUEST	8	choice	/cgi-bin/reservations.pl	1677066736681	1677066736925	OK	 
REQUEST	8	choice	/cgi-bin/reservations.pl	1677066736927	1677066737091	OK	 
REQUEST	8	choice	/cgi-bin/reservations.pl	1677066737092	1677066737248	OK	 
GROUP	8	choice	1677066736498	1677066737249	743	OK
REQUEST	8	basket	/cgi-bin/welcome.pl?page=itinerary	1677066737250	1677066737419	OK	 
REQUEST	8	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066737420	1677066737538	OK	 
REQUEST	8	basket	/cgi-bin/itinerary.pl	1677066737539	1677066738406	OK	 
GROUP	8	basket	1677066737249	1677066738406	1154	OK
REQUEST	8	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066738407	1677066738569	OK	 
REQUEST	8	singOff	/cgi-bin/nav.pl?in=home	1677066738571	1677066738684	OK	 
GROUP	8	singOff	1677066738406	1677066738685	275	OK
USER	mainScenario	8	END	1677066734954	1677066738685
USER	mainScenario	9	START	1677066738686	1677066738686
REQUEST	9	open	/webtours/	1677066738687	1677066738817	OK	 
REQUEST	9	open	/cgi-bin/welcome.pl	1677066738818	1677066738948	OK	 
REQUEST	9	open	/cgi-bin/nav.pl?in=home	1677066738951	1677066739067	OK	 
GROUP	9	open	1677066738687	1677066739068	376	OK
REQUEST	9	login	/cgi-bin/login.pl	1677066739069	1677066739226	OK	 
REQUEST	9	login	/cgi-bin/nav.pl?page=menu&in=home	1677066739228	1677066739333	OK	 
REQUEST	9	login	/cgi-bin/login.pl?intro=true	1677066739334	1677066739510	OK	 
REQUEST	9	login	/cgi-bin/welcome.pl?page=search	1677066739511	1677066739688	OK	 
REQUEST	9	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066739689	1677066739803	OK	 
GROUP	9	login	1677066739068	1677066739803	729	OK
REQUEST	9	choice	/cgi-bin/reservations.pl?page=welcome	1677066739804	1677066739899	OK	 
REQUEST	9	choice	/cgi-bin/reservations.pl	1677066739901	1677066740050	OK	 
REQUEST	9	choice	/cgi-bin/reservations.pl	1677066740052	1677066740209	OK	 
REQUEST	9	choice	/cgi-bin/reservations.pl	1677066740210	1677066740355	OK	 
GROUP	9	choice	1677066739803	1677066740356	546	OK
REQUEST	9	basket	/cgi-bin/welcome.pl?page=itinerary	1677066740357	1677066740460	OK	 
REQUEST	9	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066740461	1677066740598	OK	 
REQUEST	9	basket	/cgi-bin/itinerary.pl	1677066740599	1677066741372	OK	 
GROUP	9	basket	1677066740356	1677066741373	1013	OK
REQUEST	9	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066741373	1677066741530	OK	 
REQUEST	9	singOff	/cgi-bin/nav.pl?in=home	1677066741531	1677066741632	OK	 
GROUP	9	singOff	1677066741373	1677066741632	258	OK
USER	mainScenario	9	END	1677066738686	1677066741633
USER	mainScenario	10	START	1677066741633	1677066741633
REQUEST	10	open	/webtours/	1677066741634	1677066741732	OK	 
REQUEST	10	open	/cgi-bin/welcome.pl	1677066741734	1677066741831	OK	 
REQUEST	10	open	/cgi-bin/nav.pl?in=home	1677066741833	1677066741942	OK	 
GROUP	10	open	1677066741634	1677066741943	304	OK
REQUEST	10	login	/cgi-bin/login.pl	1677066741944	1677066742030	OK	 
REQUEST	10	login	/cgi-bin/nav.pl?page=menu&in=home	1677066742031	1677066742124	OK	 
REQUEST	10	login	/cgi-bin/login.pl?intro=true	1677066742126	1677066742270	OK	 
REQUEST	10	login	/cgi-bin/welcome.pl?page=search	1677066742271	1677066742389	OK	 
REQUEST	10	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066742391	1677066742518	OK	 
GROUP	10	login	1677066741943	1677066742519	568	OK
REQUEST	10	choice	/cgi-bin/reservations.pl?page=welcome	1677066742520	1677066742682	OK	 
REQUEST	10	choice	/cgi-bin/reservations.pl	1677066742684	1677066742792	OK	 
REQUEST	10	choice	/cgi-bin/reservations.pl	1677066742795	1677066742926	OK	 
REQUEST	10	choice	/cgi-bin/reservations.pl	1677066742927	1677066743095	OK	 
GROUP	10	choice	1677066742519	1677066743097	569	OK
REQUEST	10	basket	/cgi-bin/welcome.pl?page=itinerary	1677066743098	1677066743209	OK	 
REQUEST	10	basket	/cgi-bin/nav.pl?page=menu&in=itinerary	1677066743210	1677066743330	OK	 
REQUEST	10	basket	/cgi-bin/itinerary.pl	1677066743332	1677066744690	OK	 
GROUP	10	basket	1677066743097	1677066744691	1589	OK
REQUEST	10	singOff	/cgi-bin/cgi-bin/welcome.pl?signOff=1	1677066744692	1677066744771	OK	 
REQUEST	10	singOff	/cgi-bin/nav.pl?in=home	1677066744773	1677066744867	OK	 
GROUP	10	singOff	1677066744691	1677066744867	173	OK
USER	mainScenario	10	END	1677066741633	1677066744867
USER	mainScenario	11	START	1677066744868	1677066744868
REQUEST	11	open	/webtours/	1677066744869	1677066744983	OK	 
REQUEST	11	open	/cgi-bin/welcome.pl	1677066744985	1677066745073	OK	 
REQUEST	11	open	/cgi-bin/nav.pl?in=home	1677066745075	1677066745207	OK	 
GROUP	11	open	1677066744869	1677066745208	334	OK
REQUEST	11	login	/cgi-bin/login.pl	1677066745209	1677066745314	OK	 
REQUEST	11	login	/cgi-bin/nav.pl?page=menu&in=home	1677066745315	1677066745409	OK	 
REQUEST	11	login	/cgi-bin/login.pl?intro=true	1677066745410	1677066745504	OK	 
REQUEST	11	login	/cgi-bin/welcome.pl?page=search	1677066745505	1677066745596	OK	 
REQUEST	11	login	/cgi-bin/nav.pl?page=menu&in=flights	1677066745597	1677066745724	OK	 
GROUP	11	login	1677066745208	1677066745725	511	OK
